Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Source_Airport,Source_City,Source_Latitude,Source_Longitude,Source_Altitude,Destination_Airport,Destination_City,Destination_Latitude,Destination_Longitude,Destination_Altitude,Source_geometry,Destination_geometry,distance,Source_Popution,Destination_Popution
DL,2009,DTW,3645,MIA,3576,,0,320 M88,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Miami International Airport,Miami,25.79319954,-80.29060364,8,"(42.212398529052734, -83.35340118408203)","(25.79319953918457, -80.29060363769531)",1842.797566,"4,319,629","6,166,488"
DL,2009,DTW,3645,MKE,3717,,0,320 717 M90 M88,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,General Mitchell International Airport,Milwaukee,42.94720078,-87.89659882,723,"(42.212398529052734, -83.35340118408203)","(42.94720077514648, -87.89659881591797)",381.745999,"4,319,629","1,575,179"
DL,2009,DTW,3645,MLI,4072,Y,0,CRJ,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Quad City International Airport,Moline,41.44850159,-90.50749969,590,"(42.212398529052734, -83.35340118408203)","(41.44850158691406, -90.50749969482422)",600.1344512,"4,319,629",
DL,2009,DTW,3645,MQT,3675,Y,0,CRJ,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Sawyer International Airport,Gwinn,46.35359955,-87.395401,1221,"(42.212398529052734, -83.35340118408203)","(46.3535995483, -87.39540100100001)",561.8311462,"4,319,629",
DL,2009,DTW,3645,MSN,3459,,0,M88 319 320,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Dane County Regional Truax Field,Madison,43.13990021,-89.33750153,887,"(42.212398529052734, -83.35340118408203)","(43.13990020751953, -89.3375015258789)",501.0896712,"4,319,629","664,865"
DL,2009,DTW,3645,MSP,3858,,0,M90 M88 320 753 757 73H 777 319 738,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,44.882,-93.221802,841,"(42.212398529052734, -83.35340118408203)","(44.882, -93.221802)",850.180303,"4,319,629","3,654,908"
DL,2009,DTW,3645,MSY,3861,,0,319 M88,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Louis Armstrong New Orleans International Airport,New Orleans,29.99340057,-90.25800323,4,"(42.212398529052734, -83.35340118408203)","(29.99340057373047, -90.25800323486328)",1490.26721,"4,319,629","1,270,530"
DL,2009,DTW,3645,MYR,3515,Y,0,E75 CR9,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Myrtle Beach International Airport,Myrtle Beach,33.67969894,-78.92829895,25,"(42.212398529052734, -83.35340118408203)","(33.6796989441, -78.9282989502)",1023.451632,"4,319,629","496,901"
DL,2009,DTW,3645,OKC,3863,Y,0,CR9 CR7,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Will Rogers World Airport,Oklahoma City,35.39310074,-97.60070038,1295,"(42.212398529052734, -83.35340118408203)","(35.39310073852539, -97.60070037841795)",1447.871422,"4,319,629","1,408,950"
DL,2009,DTW,3645,OMA,3454,,0,319,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Eppley Airfield,Omaha,41.3032,-95.894096,984,"(42.212398529052734, -83.35340118408203)","(41.3032, -95.89409599999999)",1046.855966,"4,319,629","949,442"
DL,2009,DTW,3645,ORD,3830,,0,717 M90,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Chicago O'Hare International Airport,Chicago,41.9786,-87.9048,672,"(42.212398529052734, -83.35340118408203)","(41.9786, -87.9048)",377.3717122,"4,319,629","9,458,539"
DL,2009,DTW,3645,ORF,3611,,0,ERJ,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Norfolk International Airport,Norfolk,36.89459991,-76.20120239,26,"(42.212398529052734, -83.35340118408203)","(36.89459991455078, -76.20120239257812)",851.7248492,"4,319,629",
DL,2009,DTW,3645,PBI,3722,,0,M90 320,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Palm Beach International Airport,West Palm Beach,26.68320084,-80.09559631,19,"(42.212398529052734, -83.35340118408203)","(26.68320083618164, -80.09559631347656)",1748.138966,"4,319,629",
DL,2009,DTW,3645,PDX,3720,,0,739,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Portland International Airport,Portland,45.58869934,-122.5979996,31,"(42.212398529052734, -83.35340118408203)","(45.58869934, -122.59799960000001)",3143.358296,"4,319,629","2,492,412"
DL,2009,DTW,3645,PDX,3720,,0,739,Detroit Metropolitan Wayne County Airport,Detroit,42.21239853,-83.35340118,645,Portland International Airport,Portland,45.58869934,-122.5979996,31,"(42.212398529052734, -83.35340118408203)","(45.58869934, -122.59799960000001)",3143.358296,"4,319,629","538,500"
